month,baseline_p5,baseline_p10,baseline_p25,baseline_p50,n_years,month_name
1,4.04045,5.2233,6.8125,16.0645,30,Jan
2,5.83905,9.8899,19.78,40.7765,30,Feb
3,13.16175,17.4416,31.691,57.066,30,Mar
4,20.76835,28.168300000000002,50.851,97.455,30,Apr
5,30.642900000000004,50.0337,84.806,140.805,30,May
6,26.7266,35.6736,62.117,108.537,30,Jun
7,17.28965,21.031000000000002,33.2015,59.655,30,Jul
8,4.642650000000001,7.6480000000000015,15.76075,33.3565,30,Aug
9,5.49965,6.8621,10.67825,28.4285,30,Sep
10,3.33095,4.1878,9.60075,24.131500000000003,30,Oct
11,6.89275,8.329099999999999,11.8635,35.230000000000004,30,Nov
12,2.7795,3.7399000000000004,10.153,19.909,30,Dec
